Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00708609408	369.04041	369.04041	369.04041	369.04041	0	0	0	0	0	0	3
2	17	0	0.0141721882	10.8856512	189.963031	10.8856512	369.04041	179.077379	0	0	0	0	0	3
3	19	0	0.0212582822	29.7033515	136.543138	10.8856512	369.04041	232.497272	0	0	0	0	0	3
4	21	0	0.0283443763	-8.19985995	100.357388	-8.19985995	369.04041	268.683022	0	0	0	0	0	3
5	23	0	0.0354304704	16.3450906	83.5549287	-8.19985995	369.04041	285.485481	0	0	0	0	0	3
6	25	0	0.0425165645	0.727467252	69.7503518	-8.19985995	369.04041	299.290058	0	0	0	0	0	3
7	27	0	0.0496026586	9.45376505	61.1365537	-8.19985995	369.04041	307.903856	0	0	0	0	0	3
8	29	0	0.0566887527	2.86193029	53.8522257	-8.19985995	369.04041	315.188184	0	0	0	0	0	3
9	31	0	0.0637748467	7.10125936	48.6576739	-8.19985995	369.04041	320.382736	0	0	0	0	0	3
10	33	0	0.0708609408	3.78408109	44.1703146	-8.19985995	369.04041	324.870095	0	0	0	0	0	3
11	35	0	0.0779470349	5.7732914	40.6796762	-8.19985995	369.04041	328.360734	0	0	0	0	0	3
12	37	0	0.085033129	4.55592925	37.6693639	-8.19985995	369.04041	331.371046	0	0	0	0	0	3
13	39	0	0.0921192231	5.43760322	35.1899977	-8.19985995	369.04041	333.850412	0	0	0	0	0	3
14	41	0	0.0992053172	4.88509928	33.0253621	-8.19985995	369.04041	336.015048	0	0	0	0	0	3
15	43	0	0.106291411	5.33097689	31.1790698	-8.19985995	369.04041	337.86134	0	0	0	0	0	3
16	45	0	0.113377505	5.0614612	29.5467192	-8.19985995	369.04041	339.493691	0	0	0	0	0	3
17	47	0	0.120463599	5.23162296	28.1164194	-8.19985995	369.04041	340.923991	0	0	0	0	0	3
18	49	0	0.127549693	5.07825831	26.8365216	-8.19985995	369.04041	342.203888	0	0	0	0	0	3
19	51	0	0.134635788	5.15043834	25.6951488	-8.19985995	369.04041	343.345261	0	0	0	0	0	3
20	53	0	0.141721882	5.03276893	24.6620298	-8.19985995	369.04041	344.37838	0	0	0	0	0	3
21	55	0	0.148807976	5.0479185	23.7280245	-8.19985995	369.04041	345.312385	0	0	0	0	0	3
22	57	0	0.15589407	4.9515832	22.8745499	-8.19985995	369.04041	346.16586	0	0	0	0	0	3
23	59	0	0.162980164	4.96190224	22.0957391	-8.19985995	369.04041	346.944671	0	0	0	0	0	3
24	61	0	0.170066258	4.88551517	21.3786465	-8.19985995	369.04041	347.661764	0	0	0	0	0	3
