Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00708609408	293.200083	293.200083	293.200083	293.200083	0	0	0	0	0	0	3
2	17	0	0.0141721882	293.200082	293.200083	293.200082	293.200083	7.75362253e-07	0	0	0	0	0	3
3	19	0	0.0212582822	293.200082	293.200082	293.200082	293.200083	8.84096778e-07	0	0	0	0	0	3
4	21	0	0.0283443763	293.200079	293.200082	293.200079	293.200083	1.66476576e-06	0	0	0	0	0	3
5	23	0	0.0354304704	293.200079	293.200081	293.200079	293.200083	2.25549496e-06	0	0	0	0	0	3
6	25	0	0.0425165645	293.200076	293.20008	293.200076	293.200083	3.10070277e-06	0	0	0	0	0	3
7	27	0	0.0496026586	293.200075	293.200079	293.200075	293.200083	3.87777243e-06	0	0	0	0	0	3
8	29	0	0.0566887527	293.200073	293.200079	293.200073	293.200083	4.68842705e-06	0	0	0	0	0	3
9	31	0	0.0637748467	293.200072	293.200078	293.200072	293.200083	5.38316579e-06	0	0	0	0	0	3
10	33	0	0.0708609408	293.200072	293.200077	293.200072	293.200083	6.00640738e-06	0	0	0	0	0	3
11	35	0	0.0779470349	293.200073	293.200077	293.200072	293.200083	6.43963898e-06	0	0	0	0	0	3
12	37	0	0.085033129	293.200074	293.200077	293.200072	293.200083	6.70451158e-06	0	0	0	0	0	3
13	39	0	0.0921192231	293.200075	293.200077	293.200072	293.200083	6.7946898e-06	0	0	0	0	0	3
14	41	0	0.0992053172	293.200077	293.200077	293.200072	293.200083	6.7946898e-06	0	0	0	0	0	3
15	43	0	0.106291411	293.200079	293.200077	293.200072	293.200083	6.7946898e-06	0	0	0	0	0	3
16	45	0	0.113377505	293.200083	293.200077	293.200072	293.200083	6.7946898e-06	0	0	0	0	0	3
17	47	0	0.120463599	293.200086	293.200078	293.200072	293.200086	6.7946898e-06	0	0	0	0	0	3
18	49	0	0.127549693	293.200089	293.200078	293.200072	293.200089	6.7946898e-06	0	0	0	0	0	3
19	51	0	0.134635788	293.200092	293.200079	293.200072	293.200092	6.7946898e-06	0	0	0	0	0	3
20	53	0	0.141721882	293.200095	293.20008	293.200072	293.200095	6.7946898e-06	0	0	0	0	0	3
21	55	0	0.148807976	293.200099	293.200081	293.200072	293.200099	6.7946898e-06	0	0	0	0	0	3
22	57	0	0.15589407	293.200102	293.200082	293.200072	293.200102	6.7946898e-06	0	0	0	0	0	3
23	59	0	0.162980164	293.200103	293.200083	293.200072	293.200103	6.7946898e-06	0	0	0	0	0	3
24	61	0	0.170066258	293.200102	293.200083	293.200072	293.200103	6.93380838e-06	0	0	0	0	0	3
25	63	0	0.177152352	293.2001	293.200084	293.200072	293.200103	7.58729936e-06	0	0	0	0	0	3
26	65	0	0.184238446	293.200094	293.200084	293.200072	293.200103	7.95611925e-06	0	0	0	0	0	3
27	67	0	0.19132454	293.200085	293.200084	293.200072	293.200103	7.97443727e-06	0	0	0	0	0	3
28	69	0	0.198410634	293.200074	293.200084	293.200072	293.200103	7.97443727e-06	0	0	0	0	0	3
29	71	0	0.205496728	293.200063	293.200083	293.200063	293.200103	7.97443727e-06	0	0	0	0	0	3
30	73	0	0.212582822	293.200052	293.200082	293.200052	293.200103	7.97443727e-06	0	0	0	0	0	3
31	75	0	0.219668917	293.200036	293.200081	293.200036	293.200103	7.97443727e-06	0	0	0	0	0	3
32	77	0	0.226755011	293.200023	293.200079	293.200023	293.200103	7.97443727e-06	0	0	0	0	0	3
33	79	0	0.233841105	293.200013	293.200077	293.200013	293.200103	7.97443727e-06	0	0	0	0	0	3
34	81	0	0.240927199	293.200005	293.200075	293.200005	293.200103	9.56711307e-06	0	0	0	0	0	3
35	83	0	0.248013293	293.199998	293.200073	293.199998	293.200103	1.17541175e-05	0	0	0	0	0	3
36	85	0	0.255099387	293.199991	293.20007	293.199991	293.200103	1.40227799e-05	0	0	0	0	0	3
37	87	0	0.262185481	293.199986	293.200068	293.199986	293.200103	1.63135123e-05	0	0	0	0	0	3
38	89	0	0.269271575	293.199982	293.200066	293.199982	293.200103	1.85933594e-05	0	0	0	0	0	3
39	91	0	0.276357669	293.199978	293.200064	293.199978	293.200103	2.08418887e-05	0	0	0	0	0	3
40	93	0	0.283443763	293.199975	293.200061	293.199975	293.200103	2.30536308e-05	0	0	0	0	0	3
41	95	0	0.290529857	293.199971	293.200059	293.199971	293.200103	2.52573676e-05	0	0	0	0	0	3
42	97	0	0.297615951	293.199967	293.200057	293.199967	293.200103	2.74453226e-05	0	0	0	0	0	3
43	99	0	0.304702046	293.199964	293.200055	293.199964	293.200103	2.96115111e-05	0	0	0	0	0	3
44	101	0	0.31178814	293.199961	293.200053	293.199961	293.200103	3.17547965e-05	0	0	0	0	0	3
45	103	0	0.318874234	293.199958	293.200051	293.199958	293.200103	3.38698717e-05	0	0	0	0	0	3
46	105	0	0.325960328	293.199955	293.200049	293.199955	293.200103	3.59541874e-05	0	0	0	0	0	3
47	107	0	0.333046422	293.199953	293.200046	293.199953	293.200103	3.79957891e-05	0	0	0	0	0	3
48	110	0	0.340132516	293.199951	293.200044	293.199951	293.200103	3.99910633e-05	0	0	0	0	0	3
49	112	0	0.34721861	293.19995	293.200043	293.19995	293.200103	4.19248994e-05	0	0	0	0	0	3
50	114	0	0.354304704	293.199949	293.200041	293.199949	293.200103	4.37962506e-05	0	0	0	0	0	3
51	116	0	0.361390798	293.199949	293.200039	293.199949	293.200103	4.55996507e-05	0	0	0	0	0	3
52	118	0	0.368476892	293.199949	293.200037	293.199949	293.200103	4.73310178e-05	0	0	0	0	0	3
53	119	0	0.375562986	293.199949	293.200036	293.199949	293.200103	4.89870891e-05	0	0	0	0	0	3
54	121	0	0.38264908	293.19995	293.200034	293.199949	293.200103	5.05662669e-05	0	0	0	0	0	3
55	123	0	0.389735175	293.199951	293.200032	293.199949	293.200103	5.20666393e-05	0	0	0	0	0	3
56	125	0	0.396821269	293.199953	293.200031	293.199949	293.200103	5.34870985e-05	0	0	0	0	0	3
57	127	0	0.403907363	293.199955	293.20003	293.199949	293.200103	5.48237452e-05	0	0	0	0	0	3
58	129	0	0.410993457	293.199957	293.200028	293.199949	293.200103	5.60796692e-05	0	0	0	0	0	3
59	131	0	0.418079551	293.199959	293.200027	293.199949	293.200103	5.72556735e-05	0	0	0	0	0	3
60	133	0	0.425165645	293.199961	293.200026	293.199949	293.200103	5.83578255e-05	0	0	0	0	0	3
61	135	0	0.432251739	293.199963	293.200025	293.199949	293.200103	5.93883991e-05	0	0	0	0	0	3
62	137	0	0.439337833	293.199965	293.200024	293.199949	293.200103	6.03502502e-05	0	0	0	0	0	3
63	139	0	0.446423927	293.199968	293.200023	293.199949	293.200103	6.12449882e-05	0	0	0	0	0	3
64	141	0	0.453510021	293.19997	293.200022	293.199949	293.200103	6.20752308e-05	0	0	0	0	0	3
65	143	0	0.460596115	293.199972	293.200022	293.199949	293.200103	6.28441824e-05	0	0	0	0	0	3
66	145	0	0.467682209	293.199975	293.200021	293.199949	293.200103	6.35535902e-05	0	0	0	0	0	3
67	147	0	0.474768304	293.199977	293.20002	293.199949	293.200103	6.42055255e-05	0	0	0	0	0	3
68	149	0	0.481854398	293.19998	293.20002	293.199949	293.200103	6.48032512e-05	0	0	0	0	0	3
69	151	0	0.488940492	293.199982	293.200019	293.199949	293.200103	6.53475705e-05	0	0	0	0	0	3
70	152	0	0.496026586	293.199984	293.200019	293.199949	293.200103	6.58445292e-05	0	0	0	0	0	3
71	154	0	0.50311268	293.199986	293.200018	293.199949	293.200103	6.62974634e-05	0	0	0	0	0	3
72	156	0	0.510198774	293.199988	293.200017	293.199949	293.200103	6.76383893e-05	0	0	0	0	0	3
73	158	0	0.517284868	293.199989	293.200016	293.199949	293.200103	6.89384108e-05	0	0	0	0	0	3
74	160	0	0.524370962	293.19999	293.200014	293.199949	293.200103	7.02314927e-05	0	0	0	0	0	3
75	162	0	0.531457056	293.199991	293.200013	293.199949	293.200103	7.14749079e-05	0	0	0	0	0	3
76	164	0	0.53854315	293.199991	293.200012	293.199949	293.200103	7.27052367e-05	0	0	0	0	0	3
77	166	0	0.545629244	293.199992	293.200011	293.199949	293.200103	7.38926415e-05	0	0	0	0	0	3
78	168	0	0.552715338	293.199992	293.200009	293.199949	293.200103	7.50608199e-05	0	0	0	0	0	3
79	170	0	0.559801433	293.199992	293.200008	293.199949	293.200103	7.62021977e-05	0	0	0	0	0	3
80	172	0	0.566887527	293.199992	293.200007	293.199949	293.200103	7.73376784e-05	0	0	0	0	0	3
81	174	0	0.573973621	293.199992	293.200006	293.199949	293.200103	7.84668836e-05	0	0	0	0	0	3
82	176	0	0.581059715	293.199991	293.200005	293.199949	293.200103	7.96149955e-05	0	0	0	0	0	3
83	178	0	0.588145809	293.19999	293.200004	293.199949	293.200103	8.07883202e-05	0	0	0	0	0	3
84	180	0	0.595231903	293.199989	293.200002	293.199949	293.200103	8.19994142e-05	0	0	0	0	0	3
85	182	0	0.602317997	293.199988	293.200001	293.199949	293.200103	8.32507448e-05	0	0	0	0	0	3
86	184	0	0.609404091	293.199987	293.2	293.199949	293.200103	8.45466897e-05	0	0	0	0	0	3
87	186	0	0.616490185	293.199986	293.199999	293.199949	293.200103	8.5903768e-05	0	0	0	0	0	3
88	188	0	0.623576279	293.199985	293.199997	293.199949	293.200103	8.73230429e-05	0	0	0	0	0	3
89	190	0	0.630662373	293.199984	293.199996	293.199949	293.200103	8.88020887e-05	0	0	0	0	0	3
90	192	0	0.637748467	293.199983	293.199994	293.199949	293.200103	9.03390026e-05	0	0	0	0	0	3
