Iteration	CPUTime	PhysTime	Travels
1	15	0	0.00708609408
2	17	0	0.0141721882
3	19	0	0.0212582822
4	21	0	0.0283443763
5	23	0	0.0354304704
6	25	0	0.0425165645
7	27	0	0.0496026586
8	29	0	0.0566887527
9	31	0	0.0637748467
10	33	0	0.0708609408
11	35	0	0.0779470349
12	37	0	0.085033129
13	39	0	0.0921192231
14	41	0	0.0992053172
15	43	0	0.106291411
16	45	0	0.113377505
17	47	0	0.120463599
18	49	0	0.127549693
19	51	0	0.134635788
20	53	0	0.141721882
21	55	0	0.148807976
22	57	0	0.15589407
23	59	0	0.162980164
24	61	0	0.170066258
25	63	0	0.177152352
26	65	0	0.184238446
27	67	0	0.19132454
28	69	0	0.198410634
29	71	0	0.205496728
30	73	0	0.212582822
31	75	0	0.219668917
32	77	0	0.226755011
33	79	0	0.233841105
34	81	0	0.240927199
35	83	0	0.248013293
36	85	0	0.255099387
37	87	0	0.262185481
38	89	0	0.269271575
39	91	0	0.276357669
40	93	0	0.283443763
41	95	0	0.290529857
42	97	0	0.297615951
43	99	0	0.304702046
44	101	0	0.31178814
45	103	0	0.318874234
46	105	0	0.325960328
47	107	0	0.333046422
48	110	0	0.340132516
49	112	0	0.34721861
50	114	0	0.354304704
51	116	0	0.361390798
52	118	0	0.368476892
53	119	0	0.375562986
54	121	0	0.38264908
55	123	0	0.389735175
56	125	0	0.396821269
57	127	0	0.403907363
58	129	0	0.410993457
59	131	0	0.418079551
60	133	0	0.425165645
61	135	0	0.432251739
62	137	0	0.439337833
63	139	0	0.446423927
64	141	0	0.453510021
65	143	0	0.460596115
66	145	0	0.467682209
67	147	0	0.474768304
68	149	0	0.481854398
69	151	0	0.488940492
70	152	0	0.496026586
71	154	0	0.50311268
72	156	0	0.510198774
73	158	0	0.517284868
74	160	0	0.524370962
75	162	0	0.531457056
76	164	0	0.53854315
77	166	0	0.545629244
78	168	0	0.552715338
79	170	0	0.559801433
80	172	0	0.566887527
81	174	0	0.573973621
82	176	0	0.581059715
83	178	0	0.588145809
84	180	0	0.595231903
85	182	0	0.602317997
86	184	0	0.609404091
87	186	0	0.616490185
88	188	0	0.623576279
89	190	0	0.630662373
90	192	0	0.637748467
91	194	0	0.644834562
92	196	0	0.651920656
93	198	0	0.65900675
94	200	0	0.666092844
95	201	0	0.673178938
96	203	0	0.680265032
97	205	0	0.687351126
98	207	0	0.69443722
99	209	0	0.701523314
100	211	0	0.708609408
101	216	0	0.715695502
102	218	0	0.722781596
103	220	0	0.729867691
104	222	0	0.736953785
105	224	0	0.744039879
106	225	0	0.751125973
107	227	0	0.758212067
108	229	0	0.765298161
109	231	0	0.772384255
110	233	0	0.779470349
111	235	0	0.786556443
112	237	0	0.793642537
113	239	0	0.800728631
114	241	0	0.807814725
115	243	0	0.81490082
116	245	0	0.821986914
117	247	0	0.829073008
118	248	0	0.836159102
119	250	0	0.843245196
120	252	0	0.85033129
121	254	0	0.857417384
122	256	0	0.864503478
123	258	0	0.871589572
124	260	0	0.878675666
125	262	0	0.88576176
126	264	0	0.892847854
127	266	0	0.899933949
128	268	0	0.907020043
129	270	0	0.914106137
130	271	0	0.921192231
131	273	0	0.928278325
132	275	0	0.935364419
133	277	0	0.942450513
134	279	0	0.949536607
135	281	0	0.956622701
136	283	0	0.963708795
137	285	0	0.970794889
138	287	0	0.977880983
139	289	0	0.984967078
140	291	0	0.992053172
141	293	0	0.999139266
142	295	0	1.00622536
143	296	0	1.01331145
144	298	0	1.02039755
145	300	0	1.02748364
146	302	0	1.03456974
147	304	0	1.04165583
148	306	0	1.04874192
149	308	0	1.05582802
150	310	0	1.06291411
151	312	0	1.07000021
152	314	0	1.0770863
153	316	0	1.08417239
154	318	0	1.09125849
155	319	0	1.09834458
156	321	0	1.10543068
157	323	0	1.11251677
158	325	0	1.11960287
159	327	0	1.12668896
160	329	0	1.13377505
161	331	0	1.14086115
162	333	0	1.14794724
163	335	0	1.15503334
164	336	0	1.16211943
165	338	0	1.16920552
166	340	0	1.17629162
167	342	0	1.18337771
168	344	0	1.19046381
169	346	0	1.1975499
170	348	0	1.20463599
171	350	0	1.21172209
172	352	0	1.21880818
173	354	0	1.22589428
174	356	0	1.23298037
175	358	0	1.24006646
176	363	0	1.24715256
177	369	0	1.25423865
178	374	0	1.26132475
179	381	0	1.26841084
180	388	0	1.27549693
181	394	0	1.28258303
182	400	0	1.28966912
183	407	0	1.29675522
184	414	0	1.30384131
185	421	0	1.31092741
186	427	0	1.3180135
187	433	0	1.32509959
188	439	0	1.33218569
189	445	0	1.33927178
190	451	0	1.34635788
191	458	0	1.35344397
192	465	0	1.36053006
193	472	0	1.36761616
194	478	0	1.37470225
195	485	0	1.38178835
196	491	0	1.38887444
197	497	0	1.39596053
198	504	0	1.40304663
199	509	0	1.41013272
200	516	0	1.41721882
201	529	0	1.42430491
202	536	0	1.431391
203	542	0	1.4384771
204	547	0	1.44556319
205	552	0	1.45264929
206	557	0	1.45973538
207	562	0	1.46682148
208	566	0	1.47390757
209	572	0	1.48099366
210	577	0	1.48807976
211	582	0	1.49516585
212	587	0	1.50225195
213	591	0	1.50933804
214	596	0	1.51642413
215	601	0	1.52351023
216	607	0	1.53059632
217	612	0	1.53768242
218	616	0	1.54476851
219	621	0	1.5518546
220	626	0	1.5589407
221	631	0	1.56602679
222	635	0	1.57311289
223	640	0	1.58019898
224	645	0	1.58728507
225	650	0	1.59437117
226	654	0	1.60145726
227	659	0	1.60854336
228	663	0	1.61562945
229	668	0	1.62271555
230	673	0	1.62980164
231	678	0	1.63688773
232	683	0	1.64397383
233	687	0	1.65105992
234	692	0	1.65814602
235	698	0	1.66523211
236	702	0	1.6723182
237	707	0	1.6794043
238	712	0	1.68649039
239	717	0	1.69357649
240	722	0	1.70066258
241	726	0	1.70774867
242	731	0	1.71483477
243	736	0	1.72192086
244	741	0	1.72900696
245	745	0	1.73609305
246	750	0	1.74317914
247	754	0	1.75026524
248	759	0	1.75735133
249	764	0	1.76443743
250	768	0	1.77152352
251	773	0	1.77860961
252	778	0	1.78569571
253	783	0	1.7927818
254	787	0	1.7998679
255	792	0	1.80695399
256	796	0	1.81404009
257	801	0	1.82112618
258	806	0	1.82821227
259	811	0	1.83529837
260	816	0	1.84238446
261	821	0	1.84947056
262	826	0	1.85655665
263	831	0	1.86364274
264	836	0	1.87072884
265	840	0	1.87781493
266	845	0	1.88490103
267	850	0	1.89198712
268	854	0	1.89907321
269	859	0	1.90615931
270	863	0	1.9132454
271	868	0	1.9203315
272	873	0	1.92741759
273	878	0	1.93450368
274	884	0	1.94158978
275	889	0	1.94867587
276	893	0	1.95576197
277	898	0	1.96284806
278	903	0	1.96993416
279	908	0	1.97702025
280	912	0	1.98410634
281	917	0	1.99119244
282	922	0	1.99827853
283	927	0	2.00536463
284	932	0	2.01245072
285	937	0	2.01953681
286	943	0	2.02662291
287	948	0	2.033709
288	953	0	2.0407951
289	958	0	2.04788119
290	963	0	2.05496728
291	968	0	2.06205338
292	972	0	2.06913947
293	977	0	2.07622557
294	982	0	2.08331166
295	987	0	2.09039775
296	992	0	2.09748385
297	997	0	2.10456994
298	1002	0	2.11165604
299	1007	0	2.11874213
300	1012	0	2.12582822
301	1024	0	2.13291432
302	1029	0	2.14000041
303	1034	0	2.14708651
304	1039	0	2.1541726
305	1044	0	2.1612587
306	1049	0	2.16834479
307	1054	0	2.17543088
308	1058	0	2.18251698
309	1063	0	2.18960307
310	1068	0	2.19668917
311	1073	0	2.20377526
312	1078	0	2.21086135
313	1083	0	2.21794745
314	1087	0	2.22503354
315	1092	0	2.23211964
316	1097	0	2.23920573
317	1102	0	2.24629182
318	1107	0	2.25337792
319	1111	0	2.26046401
320	1116	0	2.26755011
321	1121	0	2.2746362
322	1126	0	2.28172229
323	1131	0	2.28880839
324	1135	0	2.29589448
325	1141	0	2.30298058
326	1146	0	2.31006667
327	1151	0	2.31715277
328	1156	0	2.32423886
329	1162	0	2.33132495
330	1166	0	2.33841105
331	1172	0	2.34549714
332	1176	0	2.35258324
333	1181	0	2.35966933
334	1186	0	2.36675542
335	1192	0	2.37384152
336	1198	0	2.38092761
337	1203	0	2.38801371
338	1209	0	2.3950998
339	1214	0	2.40218589
340	1220	0	2.40927199
341	1224	0	2.41635808
342	1229	0	2.42344418
343	1234	0	2.43053027
344	1239	0	2.43761636
345	1244	0	2.44470246
346	1249	0	2.45178855
347	1254	0	2.45887465
348	1259	0	2.46596074
349	1264	0	2.47304683
350	1269	0	2.48013293
351	1273	0	2.48721902
352	1278	0	2.49430512
353	1283	0	2.50139121
354	1288	0	2.50847731
355	1293	0	2.5155634
356	1297	0	2.52264949
357	1302	0	2.52973559
358	1307	0	2.53682168
359	1312	0	2.54390778
360	1316	0	2.55099387
361	1321	0	2.55807996
362	1326	0	2.56516606
363	1331	0	2.57225215
364	1337	0	2.57933825
365	1341	0	2.58642434
366	1346	0	2.59351043
367	1351	0	2.60059653
368	1356	0	2.60768262
369	1361	0	2.61476872
370	1365	0	2.62185481
371	1370	0	2.6289409
372	1375	0	2.636027
373	1380	0	2.64311309
374	1386	0	2.65019919
375	1390	0	2.65728528
376	1395	0	2.66437138
377	1400	0	2.67145747
378	1405	0	2.67854356
379	1411	0	2.68562966
380	1415	0	2.69271575
381	1420	0	2.69980185
382	1425	0	2.70688794
383	1429	0	2.71397403
384	1434	0	2.72106013
385	1439	0	2.72814622
386	1443	0	2.73523232
387	1448	0	2.74231841
388	1453	0	2.7494045
389	1458	0	2.7564906
390	1463	0	2.76357669
391	1468	0	2.77066279
392	1473	0	2.77774888
393	1479	0	2.78483497
394	1484	0	2.79192107
395	1489	0	2.79900716
396	1493	0	2.80609326
397	1498	0	2.81317935
398	1503	0	2.82026545
399	1508	0	2.82735154
400	1513	0	2.83443763
401	1525	0	2.84152373
402	1530	0	2.84860982
403	1535	0	2.85569592
404	1540	0	2.86278201
405	1545	0	2.8698681
406	1550	0	2.8769542
407	1555	0	2.88404029
408	1560	0	2.89112639
409	1564	0	2.89821248
410	1569	0	2.90529857
411	1574	0	2.91238467
412	1579	0	2.91947076
413	1584	0	2.92655686
414	1589	0	2.93364295
415	1593	0	2.94072904
416	1598	0	2.94781514
417	1602	0	2.95490123
418	1607	0	2.96198733
419	1612	0	2.96907342
420	1617	0	2.97615951
421	1622	0	2.98324561
422	1627	0	2.9903317
423	1631	0	2.9974178
424	1636	0	3.00450389
425	1641	0	3.01158999
426	1647	0	3.01867608
427	1652	0	3.02576217
428	1657	0	3.03284827
429	1662	0	3.03993436
430	1667	0	3.04702046
431	1671	0	3.05410655
432	1677	0	3.06119264
433	1682	0	3.06827874
434	1687	0	3.07536483
435	1692	0	3.08245093
436	1696	0	3.08953702
437	1701	0	3.09662311
438	1707	0	3.10370921
439	1712	0	3.1107953
440	1716	0	3.1178814
441	1721	0	3.12496749
442	1726	0	3.13205358
443	1730	0	3.13913968
444	1736	0	3.14622577
445	1741	0	3.15331187
446	1745	0	3.16039796
447	1751	0	3.16748406
448	1756	0	3.17457015
449	1761	0	3.18165624
450	1766	0	3.18874234
451	1770	0	3.19582843
452	1775	0	3.20291453
453	1779	0	3.21000062
454	1784	0	3.21708671
455	1788	0	3.22417281
456	1794	0	3.2312589
457	1798	0	3.238345
458	1804	0	3.24543109
459	1809	0	3.25251718
460	1814	0	3.25960328
461	1818	0	3.26668937
462	1823	0	3.27377547
463	1827	0	3.28086156
464	1833	0	3.28794765
465	1837	0	3.29503375
466	1842	0	3.30211984
467	1848	0	3.30920594
468	1853	0	3.31629203
469	1858	0	3.32337812
470	1862	0	3.33046422
471	1868	0	3.33755031
472	1873	0	3.34463641
473	1878	0	3.3517225
474	1883	0	3.3588086
475	1888	0	3.36589469
476	1892	0	3.37298078
477	1897	0	3.38006688
478	1902	0	3.38715297
479	1907	0	3.39423907
480	1912	0	3.40132516
481	1917	0	3.40841125
482	1921	0	3.41549735
483	1926	0	3.42258344
484	1930	0	3.42966954
485	1935	0	3.43675563
486	1940	0	3.44384172
487	1945	0	3.45092782
488	1950	0	3.45801391
489	1955	0	3.46510001
490	1959	0	3.4721861
491	1965	0	3.47927219
492	1969	0	3.48635829
493	1974	0	3.49344438
494	1978	0	3.50053048
495	1984	0	3.50761657
496	1989	0	3.51470267
497	1994	0	3.52178876
498	1999	0	3.52887485
499	2005	0	3.53596095
500	2010	0	3.54304704
501	2022	0	3.55013314
502	2027	0	3.55721923
503	2032	0	3.56430532
504	2037	0	3.57139142
505	2042	0	3.57847751
506	2046	0	3.58556361
507	2052	0	3.5926497
508	2057	0	3.59973579
509	2062	0	3.60682189
510	2067	0	3.61390798
511	2072	0	3.62099408
512	2078	0	3.62808017
513	2083	0	3.63516626
514	2088	0	3.64225236
515	2093	0	3.64933845
516	2098	0	3.65642455
517	2103	0	3.66351064
518	2108	0	3.67059673
519	2113	0	3.67768283
520	2117	0	3.68476892
521	2123	0	3.69185502
522	2128	0	3.69894111
523	2133	0	3.70602721
524	2138	0	3.7131133
525	2143	0	3.72019939
526	2147	0	3.72728549
527	2152	0	3.73437158
528	2156	0	3.74145768
529	2161	0	3.74854377
530	2166	0	3.75562986
531	2171	0	3.76271596
532	2176	0	3.76980205
533	2181	0	3.77688815
534	2186	0	3.78397424
535	2191	0	3.79106033
536	2196	0	3.79814643
537	2201	0	3.80523252
538	2206	0	3.81231862
539	2211	0	3.81940471
540	2216	0	3.8264908
541	2221	0	3.8335769
542	2225	0	3.84066299
543	2230	0	3.84774909
544	2236	0	3.85483518
545	2241	0	3.86192128
546	2246	0	3.86900737
547	2251	0	3.87609346
548	2256	0	3.88317956
549	2260	0	3.89026565
550	2265	0	3.89735175
551	2270	0	3.90443784
552	2275	0	3.91152393
553	2280	0	3.91861003
554	2285	0	3.92569612
555	2289	0	3.93278222
556	2295	0	3.93986831
557	2299	0	3.9469544
558	2304	0	3.9540405
559	2309	0	3.96112659
560	2314	0	3.96821269
561	2319	0	3.97529878
562	2324	0	3.98238487
563	2328	0	3.98947097
564	2333	0	3.99655706
565	2337	0	4.00364316
566	2342	0	4.01072925
567	2347	0	4.01781535
568	2352	0	4.02490144
569	2357	0	4.03198753
570	2361	0	4.03907363
571	2366	0	4.04615972
572	2371	0	4.05324582
573	2376	0	4.06033191
574	2381	0	4.067418
575	2386	0	4.0745041
576	2390	0	4.08159019
577	2395	0	4.08867629
578	2400	0	4.09576238
579	2404	0	4.10284847
580	2409	0	4.10993457
581	2415	0	4.11702066
582	2420	0	4.12410676
583	2425	0	4.13119285
584	2430	0	4.13827894
585	2436	0	4.14536504
586	2441	0	4.15245113
587	2446	0	4.15953723
588	2451	0	4.16662332
589	2457	0	4.17370941
590	2462	0	4.18079551
591	2467	0	4.1878816
592	2471	0	4.1949677
593	2476	0	4.20205379
594	2481	0	4.20913989
595	2486	0	4.21622598
