Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00708609408	0	0	0	0	0	0	0	0	0	0	3
2	17	0	0.0141721882	0	0	0	0	0	0	0	0	0	0	3
3	19	0	0.0212582822	0	0	0	0	0	0	0	0	0	0	3
4	21	0	0.0283443763	0	0	0	0	0	0	0	0	0	0	3
5	23	0	0.0354304704	0	0	0	0	0	0	0	0	0	0	3
6	25	0	0.0425165645	0	0	0	0	0	0	0	0	0	0	3
7	27	0	0.0496026586	0	0	0	0	0	0	0	0	0	0	3
8	29	0	0.0566887527	0	0	0	0	0	0	0	0	0	0	3
9	31	0	0.0637748467	0	0	0	0	0	0	0	0	0	0	3
10	33	0	0.0708609408	0	0	0	0	0	0	0	0	0	0	3
11	35	0	0.0779470349	0	0	0	0	0	0	0	0	0	0	3
12	37	0	0.085033129	0	0	0	0	0	0	0	0	0	0	3
13	39	0	0.0921192231	0	0	0	0	0	0	0	0	0	0	3
14	41	0	0.0992053172	0	0	0	0	0	0	0	0	0	0	3
15	43	0	0.106291411	0	0	0	0	0	0	0	0	0	0	3
16	45	0	0.113377505	0	0	0	0	0	0	0	0	0	0	3
17	47	0	0.120463599	0	0	0	0	0	0	0	0	0	0	3
18	49	0	0.127549693	0	0	0	0	0	0	0	0	0	0	3
19	51	0	0.134635788	0	0	0	0	0	0	0	0	0	0	3
20	53	0	0.141721882	0	0	0	0	0	0	0	0	0	0	3
21	55	0	0.148807976	0	0	0	0	0	0	0	0	0	0	3
22	57	0	0.15589407	0	0	0	0	0	0	0	0	0	0	3
23	59	0	0.162980164	0	0	0	0	0	0	0	0	0	0	3
24	61	0	0.170066258	0	0	0	0	0	0	0	0	0	0	3
25	63	0	0.177152352	0	0	0	0	0	0	0	0	0	0	3
26	65	0	0.184238446	0	0	0	0	0	0	0	0	0	0	3
27	67	0	0.19132454	0	0	0	0	0	0	0	0	0	0	3
28	69	0	0.198410634	0	0	0	0	0	0	0	0	0	0	3
29	71	0	0.205496728	0	0	0	0	0	0	0	0	0	0	3
30	73	0	0.212582822	0	0	0	0	0	0	0	0	0	0	3
31	75	0	0.219668917	0	0	0	0	0	0	0	0	0	0	3
32	77	0	0.226755011	0	0	0	0	0	0	0	0	0	0	3
33	79	0	0.233841105	0	0	0	0	0	0	0	0	0	0	3
34	81	0	0.240927199	0	0	0	0	0	0	0	0	0	0	3
35	83	0	0.248013293	0	0	0	0	0	0	0	0	0	0	3
36	85	0	0.255099387	0	0	0	0	0	0	0	0	0	0	3
37	87	0	0.262185481	0	0	0	0	0	0	0	0	0	0	3
38	89	0	0.269271575	0	0	0	0	0	0	0	0	0	0	3
39	91	0	0.276357669	0	0	0	0	0	0	0	0	0	0	3
40	93	0	0.283443763	0	0	0	0	0	0	0	0	0	0	3
41	95	0	0.290529857	0	0	0	0	0	0	0	0	0	0	3
42	97	0	0.297615951	0	0	0	0	0	0	0	0	0	0	3
43	99	0	0.304702046	0	0	0	0	0	0	0	0	0	0	3
44	101	0	0.31178814	0	0	0	0	0	0	0	0	0	0	3
45	103	0	0.318874234	0	0	0	0	0	0	0	0	0	0	3
46	105	0	0.325960328	0	0	0	0	0	0	0	0	0	0	3
47	107	0	0.333046422	0	0	0	0	0	0	0	0	0	0	3
48	110	0	0.340132516	0	0	0	0	0	0	0	0	0	0	3
49	112	0	0.34721861	0	0	0	0	0	0	0	0	0	0	3
50	114	0	0.354304704	0	0	0	0	0	0	0	0	0	0	3
51	116	0	0.361390798	0	0	0	0	0	0	0	0	0	0	3
52	118	0	0.368476892	0	0	0	0	0	0	0	0	0	0	3
53	119	0	0.375562986	0	0	0	0	0	0	0	0	0	0	3
54	121	0	0.38264908	0	0	0	0	0	0	0	0	0	0	3
55	123	0	0.389735175	0	0	0	0	0	0	0	0	0	0	3
56	125	0	0.396821269	0	0	0	0	0	0	0	0	0	0	3
57	127	0	0.403907363	0	0	0	0	0	0	0	0	0	0	3
58	129	0	0.410993457	0	0	0	0	0	0	0	0	0	0	3
59	131	0	0.418079551	0	0	0	0	0	0	0	0	0	0	3
60	133	0	0.425165645	0	0	0	0	0	0	0	0	0	0	3
61	135	0	0.432251739	0	0	0	0	0	0	0	0	0	0	3
62	137	0	0.439337833	0	0	0	0	0	0	0	0	0	0	3
63	139	0	0.446423927	0	0	0	0	0	0	0	0	0	0	3
64	141	0	0.453510021	0	0	0	0	0	0	0	0	0	0	3
65	143	0	0.460596115	0	0	0	0	0	0	0	0	0	0	3
66	145	0	0.467682209	0	0	0	0	0	0	0	0	0	0	3
67	147	0	0.474768304	0	0	0	0	0	0	0	0	0	0	3
68	149	0	0.481854398	0	0	0	0	0	0	0	0	0	0	3
69	151	0	0.488940492	0	0	0	0	0	0	0	0	0	0	3
70	152	0	0.496026586	0	0	0	0	0	0	0	0	0	0	3
71	154	0	0.50311268	0	0	0	0	0	0	0	0	0	0	3
72	156	0	0.510198774	0	0	0	0	0	0	0	0	0	0	3
73	158	0	0.517284868	0	0	0	0	0	0	0	0	0	0	3
74	160	0	0.524370962	0	0	0	0	0	0	0	0	0	0	3
75	162	0	0.531457056	0	0	0	0	0	0	0	0	0	0	3
76	164	0	0.53854315	0	0	0	0	0	0	0	0	0	0	3
77	166	0	0.545629244	0	0	0	0	0	0	0	0	0	0	3
78	168	0	0.552715338	0	0	0	0	0	0	0	0	0	0	3
79	170	0	0.559801433	0	0	0	0	0	0	0	0	0	0	3
80	172	0	0.566887527	0	0	0	0	0	0	0	0	0	0	3
81	174	0	0.573973621	0	0	0	0	0	0	0	0	0	0	3
82	176	0	0.581059715	0	0	0	0	0	0	0	0	0	0	3
83	178	0	0.588145809	0	0	0	0	0	0	0	0	0	0	3
84	180	0	0.595231903	0	0	0	0	0	0	0	0	0	0	3
