Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00708609408	500.127401	500.127401	500.127401	500.127401	0	0	0	0	0	0	3
2	17	0	0.0141721882	12.7691995	256.4483	12.7691995	500.127401	243.679101	0	0	0	0	0	3
3	19	0	0.0212582822	55.0640249	189.320208	12.7691995	500.127401	310.807193	0	0	0	0	0	3
4	21	0	0.0283443763	-3.16547697	141.198787	-3.16547697	500.127401	358.928614	0	0	0	0	0	3
5	23	0	0.0354304704	40.7623312	121.111496	-3.16547697	500.127401	379.015905	0	0	0	0	0	3
6	25	0	0.0425165645	11.1551133	102.785432	-3.16547697	500.127401	397.341969	0	0	0	0	0	3
7	27	0	0.0496026586	30.4103334	92.4461323	-3.16547697	500.127401	407.681269	0	0	0	0	0	3
8	29	0	0.0566887527	16.4270775	82.9437505	-3.16547697	500.127401	417.183651	0	0	0	0	0	3
9	31	0	0.0637748467	27.2383697	76.7542637	-3.16547697	500.127401	423.373137	0	0	0	0	0	3
10	33	0	0.0708609408	19.817886	71.060626	-3.16547697	500.127401	429.066775	0	0	0	0	0	3
11	35	0	0.0779470349	25.37942	66.9077891	-3.16547697	500.127401	433.219612	0	0	0	0	0	3
12	37	0	0.085033129	22.5792098	63.2137408	-3.16547697	500.127401	436.91366	0	0	0	0	0	3
13	39	0	0.0921192231	25.365324	60.3023241	-3.16547697	500.127401	439.825077	0	0	0	0	0	3
14	41	0	0.0992053172	24.0110913	57.7100932	-3.16547697	500.127401	442.417308	0	0	0	0	0	3
15	43	0	0.106291411	25.6005477	55.5694568	-3.16547697	500.127401	444.557944	0	0	0	0	0	3
16	45	0	0.113377505	24.8930825	53.6521834	-3.16547697	500.127401	446.475218	0	0	0	0	0	3
17	47	0	0.120463599	25.626826	52.003633	-3.16547697	500.127401	448.123768	0	0	0	0	0	3
18	49	0	0.127549693	25.1924652	50.5141237	-3.16547697	500.127401	449.613277	0	0	0	0	0	3
19	51	0	0.134635788	25.4857285	49.1968397	-3.16547697	500.127401	450.930561	0	0	0	0	0	3
20	53	0	0.141721882	25.3237596	48.0031857	-3.16547697	500.127401	452.124215	0	0	0	0	0	3
21	55	0	0.148807976	25.3196576	46.9230177	-3.16547697	500.127401	453.204383	0	0	0	0	0	3
22	57	0	0.15589407	25.332877	45.9416477	-3.16547697	500.127401	454.185753	0	0	0	0	0	3
23	59	0	0.162980164	25.2626	45.0425586	-3.16547697	500.127401	455.084842	0	0	0	0	0	3
24	61	0	0.170066258	25.3640936	44.2226226	-3.16547697	500.127401	455.904778	0	0	0	0	0	3
25	63	0	0.177152352	25.2494642	43.4636963	-3.16547697	500.127401	456.663705	0	0	0	0	0	3
26	65	0	0.184238446	25.3509618	42.7670526	-3.16547697	500.127401	457.360348	0	0	0	0	0	3
