Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	15	0	0.00708609408	101324.318	101324.318	101324.318	101324.318	0	0	0	0	0	0	3
2	17	0	0.0141721882	101324.349	101324.334	101324.318	101324.349	0.0155036923	0	0	0	0	0	3
3	19	0	0.0212582822	101324.336	101324.334	101324.318	101324.349	0.0163225454	0	0	0	0	0	3
4	21	0	0.0283443763	101324.394	101324.349	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
5	23	0	0.0354304704	101324.319	101324.343	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
6	25	0	0.0425165645	101324.373	101324.348	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
7	27	0	0.0496026586	101324.337	101324.347	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
8	29	0	0.0566887527	101324.364	101324.349	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
9	31	0	0.0637748467	101324.342	101324.348	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
10	33	0	0.0708609408	101324.353	101324.348	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
11	35	0	0.0779470349	101324.343	101324.348	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
12	37	0	0.085033129	101324.342	101324.347	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
13	39	0	0.0921192231	101324.335	101324.347	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
14	41	0	0.0992053172	101324.331	101324.345	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
15	43	0	0.106291411	101324.326	101324.344	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
16	45	0	0.113377505	101324.321	101324.343	101324.318	101324.394	0.0312765371	0	0	0	0	0	3
17	47	0	0.120463599	101324.315	101324.341	101324.315	101324.394	0.0312765371	0	0	0	0	0	3
18	49	0	0.127549693	101324.306	101324.339	101324.306	101324.394	0.0312765371	0	0	0	0	0	3
19	51	0	0.134635788	101324.301	101324.337	101324.301	101324.394	0.0312765371	0	0	0	0	0	3
20	53	0	0.141721882	101324.292	101324.335	101324.292	101324.394	0.0312765371	0	0	0	0	0	3
21	55	0	0.148807976	101324.287	101324.333	101324.287	101324.394	0.0312765371	0	0	0	0	0	3
22	57	0	0.15589407	101324.276	101324.33	101324.276	101324.394	0.0312765371	0	0	0	0	0	3
23	59	0	0.162980164	101324.268	101324.327	101324.268	101324.394	0.0312765371	0	0	0	0	0	3
24	61	0	0.170066258	101324.258	101324.324	101324.258	101324.394	0.0312765371	0	0	0	0	0	3
25	63	0	0.177152352	101324.25	101324.321	101324.25	101324.394	0.0312765371	0	0	0	0	0	3
26	65	0	0.184238446	101324.242	101324.318	101324.242	101324.394	0.0312765371	0	0	0	0	0	3
27	67	0	0.19132454	101324.233	101324.315	101324.233	101324.394	0.0341429534	0	0	0	0	0	3
28	69	0	0.198410634	101324.224	101324.312	101324.224	101324.394	0.0373988478	0	0	0	0	0	3
29	71	0	0.205496728	101324.218	101324.309	101324.218	101324.394	0.0406376943	0	0	0	0	0	3
30	73	0	0.212582822	101324.214	101324.306	101324.214	101324.394	0.0437962109	0	0	0	0	0	3
31	75	0	0.219668917	101324.213	101324.303	101324.213	101324.394	0.0467758115	0	0	0	0	0	3
32	77	0	0.226755011	101324.213	101324.3	101324.213	101324.394	0.0495723402	0	0	0	0	0	3
33	79	0	0.233841105	101324.214	101324.297	101324.213	101324.394	0.0521813293	0	0	0	0	0	3
34	81	0	0.240927199	101324.215	101324.295	101324.213	101324.394	0.0546064313	0	0	0	0	0	3
35	83	0	0.248013293	101324.216	101324.292	101324.213	101324.394	0.0568685763	0	0	0	0	0	3
36	85	0	0.255099387	101324.216	101324.29	101324.213	101324.394	0.0589854384	0	0	0	0	0	3
37	87	0	0.262185481	101324.217	101324.288	101324.213	101324.394	0.0609714834	0	0	0	0	0	3
38	89	0	0.269271575	101324.217	101324.286	101324.213	101324.394	0.0628442588	0	0	0	0	0	3
39	91	0	0.276357669	101324.217	101324.285	101324.213	101324.394	0.0646189115	0	0	0	0	0	3
40	93	0	0.283443763	101324.217	101324.283	101324.213	101324.394	0.0663118674	0	0	0	0	0	3
41	95	0	0.290529857	101324.217	101324.281	101324.213	101324.394	0.0679332918	0	0	0	0	0	3
42	97	0	0.297615951	101324.216	101324.28	101324.213	101324.394	0.0694984493	0	0	0	0	0	3
43	99	0	0.304702046	101324.215	101324.278	101324.213	101324.394	0.0710118343	0	0	0	0	0	3
44	101	0	0.31178814	101324.214	101324.277	101324.213	101324.394	0.0724803069	0	0	0	0	0	3
45	103	0	0.318874234	101324.213	101324.275	101324.213	101324.394	0.0739079078	0	0	0	0	0	3
46	105	0	0.325960328	101324.211	101324.274	101324.211	101324.394	0.075300642	0	0	0	0	0	3
47	107	0	0.333046422	101324.21	101324.273	101324.21	101324.394	0.0766576242	0	0	0	0	0	3
48	110	0	0.340132516	101324.209	101324.271	101324.209	101324.394	0.0779813403	0	0	0	0	0	3
49	112	0	0.34721861	101324.208	101324.27	101324.208	101324.394	0.0792681304	0	0	0	0	0	3
50	114	0	0.354304704	101324.208	101324.269	101324.208	101324.394	0.0805174742	0	0	0	0	0	3
